/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:1.9 CYCLES:2766 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.0 CYCLES:2986 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:1.7 CYCLES:2486 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.6
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:1.8 CYCLES:2726 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 95.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:1.7 CYCLES:2506 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.4
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:1.7 CYCLES:2466 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:1.7 CYCLES:2566 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:1.7 CYCLES:2466 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:2.0 CYCLES:2966 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 92.3
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:1.9 CYCLES:2766 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:1.9 CYCLES:2766 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:2.0 CYCLES:2986 ICOUNT:1492 IHITRATE: 99.6 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:1.7 CYCLES:2486 ICOUNT:1492 IHITRATE: 99.5 DHITRATE: 97.6
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:6.7 CYCLES:67 ICOUNT:10 IHITRATE: 82.6 DHITRATE: 85.7
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:7.6 CYCLES:76 ICOUNT:10 IHITRATE: 87.5 DHITRATE: 75.0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.1 CYCLES:46 ICOUNT:9 IHITRATE: 75.0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.6 CYCLES:66 ICOUNT:10 IHITRATE: 81.8 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:6.7 CYCLES:67 ICOUNT:10 IHITRATE: 82.6 DHITRATE: 85.7
/u/k/a/karu/courses/cs552/spring2009/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:7.6 CYCLES:76 ICOUNT:10 IHITRATE: 87.5 DHITRATE: 75.0
